word,condition,key,color
Creative,creative,e,skyblue
Novel,creative,e,skyblue
Inventive,creative,e,skyblue
Newfangled,creative,e,skyblue
Original,creative,e,skyblue
Different,creative,e,skyblue
Practical,practical,i,skyblue
Applied,practical,i,skyblue
Useful,practical,i,skyblue
Functional,practical,i,skyblue
Efficient,practical,i,skyblue
Constructive,practical,i,skyblue
Rainbow,good,i,limegreen
Cake,good,i,limegreen
Sunshine,good,i,limegreen
Laughter,good,i,limegreen
Peace,good,i,limegreen
Heaven,good,i,limegreen
Agony,bad,e,limegreen
Hell,bad,e,limegreen
Ugly,bad,e,limegreen
Vomit,bad,e,limegreen
Poison,bad,e,limegreen
Rotten,bad,e,limegreen
